building_count_100m,building_density_100m,building_coverage_ratio,building_mean_size,building_max_size,building_size_std,building_shape_complexity
5.0,0.0005,0.07995868355254646,285.99144781508755,390.15837893792576,59.216870949361216,4.523852498570858
2.0,0.0002,0.01801003391307814,322.18207438209197,525.2665319534503,203.08445757135834,4.853897472103945
1.0,0.0001,0.057660086449781905,576.600864497819,576.600864497819,0.0,5.029356401654146
12.0,0.0012,0.3930743343920319,474.94716241370844,3012.9289912004865,779.9784579710116,4.564775836322458
10.0,0.001,0.3031959084750553,710.9283631716027,3012.9289912004865,821.10534031435,5.16880913760965
1.0,0.0001,0.08888037614549403,3874.578670754847,3874.578670754847,0.0,5.544542653373642
5.0,0.0005,0.363957919056882,4980.80573416414,24280.28474250742,9650.460675609294,4.957199617377844
12.0,0.0012,0.3096492852551267,527.2306723794051,1466.8405595379538,434.9278636314037,4.728283167387799
11.0,0.0011,0.1904433803024642,333.33793887717053,879.0272109604978,258.5982520216391,4.618585014021463
14.0,0.0014,0.24598659597659625,351.63955661884745,922.4360841920591,231.49157347129204,4.543552224082697
9.0,0.0009,0.08001146019755215,158.5380870985351,492.81031569761393,153.00104556901053,4.311773410579303
3.0,0.0003,0.02057161964310044,161.939422037084,280.9995563841769,101.17035713106924,4.161930532252227
4.0,0.0004,0.10585521417789095,356.0869081267678,938.5293663958192,347.50010062783144,4.149554669023738
6.0,0.0006,0.15520152411110888,490.3021554089809,938.5293663958192,296.07623860863356,4.611514857341411
11.0,0.0011,0.23864774366057573,340.9285782220078,938.5293663958192,274.03722641602604,4.477395525149551
23.0,0.0023,0.436073076448262,261.29452830406245,938.5293663958192,226.20539311442178,4.429853770105376
10.0,0.001,0.27216690057748916,400.92721142619587,829.9964737957363,282.0029071117406,4.551298725003258
7.0,0.0007,0.23925143217549438,418.56501549850225,782.0850858355329,253.20041303946593,4.406154045626787
12.0,0.0012,0.21058057010730102,261.5500351930174,514.34023315598,127.59208051573603,4.410366938593734
8.0,0.0008,0.13216512727803406,249.48146093780508,354.6072804648634,95.20884833955787,4.3386684822730235
18.0,0.0018,0.2603527340512238,272.81520063748405,832.3484835704917,210.60081263223768,4.411680719900544
15.0,0.0015,0.34721526014973003,312.0131892952626,982.613576452566,214.76189358553282,4.333525045996618
14.0,0.0014,0.34404253145887864,394.20751045541874,1202.8253599047364,286.1788416305905,4.539425040123598
7.0,0.0007,0.11628530685196538,302.03581050951635,501.217471949853,100.23934895273389,4.361469684112824
7.0,0.0007,0.0801900187232996,232.59746501759278,390.15837893792576,94.9423926119479,4.16593476122632
8.0,0.0008,0.12283586276664243,427.2857628124372,1180.9576247515324,330.3013084385767,4.29883366933778
10.0,0.001,0.1513404305506958,355.2221003486691,1075.2766282066145,278.40227331050403,4.47197779625941
10.0,0.001,0.14812527329883168,270.2109818270999,625.5803326179577,130.4054053322149,4.391383302812015
12.0,0.0012,0.14321762964605772,243.6896354060168,651.8064707018505,139.25600299964066,4.567310591400555
12.0,0.0012,0.1786591048556537,197.46756927338606,651.8064707018505,149.34145608106274,4.752410524491808
16.0,0.0016,0.23760482709744885,257.3693002511385,1043.6154160901876,254.99204128631692,4.694821826310138
10.0,0.001,0.22839502369135192,300.6472823491439,1043.6154160901876,307.5202122411799,4.662178773065938
4.0,0.0004,0.08736400614805737,560.1123204052931,1043.6154160901876,352.16607917338297,4.593508408919163
3.0,0.0003,0.04302255625486414,384.13878993769384,608.1472926307856,165.05285734548826,4.368522211749894
5.0,0.0005,0.03275054667993948,172.22601336999927,215.31190562008203,29.579189959999596,4.25775492060398
6.0,0.0006,0.011330295658302477,204.90292761831043,525.2665319534503,146.09290732332008,4.419892313033748
2.0,0.0002,0.02372487247697647,568.0160021257186,610.7654722979869,42.749470172268275,4.8885683297464855
2.0,0.0002,0.011566315051226711,652.1180808779461,693.4706894579055,41.35260857995928,4.561600216798889
3.0,0.0003,0.012121336365267342,405.7179136492994,693.4706894579055,210.46191291519662,4.5542533513465315
2.0,0.0002,0.00790149494499068,261.84152574499643,327.72081074959635,65.87928500459994,4.520426829193608
6.0,0.0006,0.07498026096408401,365.7026843643154,1152.7858491750408,354.7975696830231,4.277407871105285
9.0,0.0009,0.08057247178121876,1485.662358482442,8366.86391636592,2496.9257729178903,5.118778730826343
5.0,0.0005,0.1351508319051562,2184.949964185671,8366.86391636592,3155.9725880662363,5.575811528798019
2.0,0.0002,0.03767183949149935,5755.711749809213,8366.86391636592,2611.1521665567084,7.445439785808118
1.0,0.0001,0.05970867414028596,8366.86391636592,8366.86391636592,0.0,10.25937207139405
